,% Iron Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate
37,55.2,3725.78,570.129,403.887,10.1059,1.74,256.816,252.4,250.203,295.096,306.4,256.333,251.873,468.457,495.437,458.67,428.4,385.216,445.754,432.025,66.91
38,55.2,3734.18,569.946,400.02,10.1074,1.74,256.311,247.544,250.576,295.096,306.4,256.509,251.191,465.304,284.561,456.457,437.068,394.471,442.506,422.318,66.91
39,55.2,3747.85,567.139,403.359,10.1089,1.74,254.751,245.588,250.554,295.096,306.4,256.487,250.466,458.698,328.8555,461.151,459.648,413.524,439.37,417.185,66.91
40,55.2,3766.99,579.224,406.084,10.1104,1.74,254.531,248.884,250.488,295.096,306.4,255.959,250.269,452.942,373.15,482.68,472.891,425.699,455.778,423.476,66.91
41,55.2,3804.88,598.389,403.477,10.112,1.74,254.355,250.884,250.334,295.096,306.4,255.762,250.422,457.396,486.826,490.828,444.921,415.399,471.01,438.315,66.91
42,55.2,3816.99,600.83,402.861,10.1135,1.74,254.07,251.763,249.346,295.096,306.4,255.916,250.796,452.241,508.292,474.75,432.849,412.097,470.45,480.689,66.91
43,55.2,3812.3,599.365,403.516,10.115,1.74,254.736,247.339,248.95,295.096,306.4,254.956,250.195,461.617,513.163,462.757,455.08,419.33,462.05,480.393,66.91
44,55.2,3818.75,595.001,403.14,10.1166,1.74,254.817,248.28,249.95,295.096,306.4,254.586,250.115,462.751,515.94,458.485,466.273,434.26,438.299,458.319,66.91
45,55.2,3820.9,589.874,394.834,10.1181,1.74,254.092,246.193,250.917,295.096,306.4,254.663,250.411,465.154,507.926,450.526,463.868,449.935,434.607,455.093,66.91
46,55.2,3802.54,594.33,397.002,10.1196,1.74,253.641,246.687,251.005,295.096,306.4,253.806,250.774,462.751,499.284,448.856,477.99,472.845,450.542,447.725,66.91
47,55.2,3788.09,598.724,395.156,10.1211,1.74,253.422,251.071,251.213,295.096,306.4,254.059,250.214,440.104,317.64,442.275,493.181,494.655,469.386,451.837,66.91
48,55.2,3774.22,598.969,391.904,10.1227,1.74022,252.916,251.115,250.939,295.096,306.4,255.157,249.829,446.986,340.792,430.405,496.617,522.335,490.246,477.66,66.91
49,55.2,1130.86,595.581,398.364,10.1242,1.74057,252.971,249.983,251.136,295.096,306.4,253.685,250.4,463.928,363.944,435.012,475.154,524.045,492.794,518.624,66.91
50,55.2,1084.31,597.046,403.667,10.1257,1.74091,252.554,250.258,249.225,295.096,306.4,253.114,249.851,460.474,500.759,432.014,428.375,505.236,503.518,551.869,66.91
51,55.2,1037.76,597.168,398.687,10.1273,1.74126,252.532,249.346,247.786,295.096,306.4,254.344,249.818,451.24,514.13,432.423,398.964,489.674,506.402,535.315,66.91
52,55.2,2588.77,597.9,394.556,10.1288,1.7416,252.971,248.302,247.917,295.096,306.4,252.883,250.62,443.232,509.595,431.37,412.658,470.205,476.022,487.337,66.91
53,55.2,3026.46,598.755,397.471,10.1303,1.74195,252.839,248.785,250.356,295.096,306.4,252.092,250.642,455.72,507.811,444.56,442.855,473.921,431.803,439.941,66.91
54,55.2,2962.89,598.755,399.316,10.1307,1.74229,252.686,249.17,251.587,295.096,306.4,252.246,250.488,463.953,509.2,452.68,453.52,480.28,416.12,424.3,66.91
55,55.2,2926.07,607.086,395.508,10.1305,1.74264,253.257,250.884,251.73,295.096,306.4,251.96,250.203,459.073,506.99,458.998,454.788,483.147,421.58,401.706,66.91
56,55.2,2940.53,600.861,396.694,10.1302,1.74298,252.993,250.95,251.949,295.096,306.4,251.521,249.906,461.325,261.341,455.731,461.307,483.975,445.638,395.28,66.91
57,55.2,2951.37,593.506,398.818,10.13,1.74333,252.114,255.344,250.455,295.096,306.4,250.653,249.972,463.953,314.7245,457.756,461.148,492.54,482.854,418.455,66.91
58,55.2,2975.2,598.602,398.452,10.1298,1.74367,252.092,251.104,249.467,295.096,306.4,249.697,250.334,454.193,368.108,468.145,450.738,480.531,499.318,452.579,66.91
59,55.2,3053.71,599.823,399.097,10.1295,1.74402,252.532,249.412,248.818,295.096,306.4,248.104,249.774,441.456,509.625,460.182,423.496,463.592,495.594,478.403,66.91
60,55.2,3094.24,596.375,397.896,10.1293,1.74436,252.114,249.489,248.225,295.096,306.4,254.553,249.39,440.029,524.378,460.773,423.264,447.176,472.102,479.453,66.91
61,55.2,3087.5,593.506,397.925,10.1291,1.74471,251.521,248.807,248.357,295.096,306.4,254.685,249.818,453.467,528.51,459.642,437.055,441.341,443.458,450.703,66.91
62,55.2,3071.88,599.792,401.865,10.1288,1.74505,251.796,250.873,248.511,295.096,306.4,248.687,250.906,460.274,520.326,465.768,455.236,449.244,431.132,422.287,66.91
63,55.2,3056.25,598.877,395.332,10.1286,1.7454,251.598,251.455,251.224,295.096,306.4,253.531,251.082,450.69,505.887,465.576,465.178,462.956,438.667,412.576,66.91
64,55.2,3055.86,596.71,398.438,10.1283,1.74574,251.082,251.576,252.543,295.096,306.4,251.301,250.785,454.869,264.879,464.685,476.563,469.954,460.678,418.786,66.91
65,55.2,3068.75,594.94,396.255,10.1281,1.74609,251.499,253.235,251.609,295.096,306.4,246.215,250.137,457.997,309.045,451.954,491.936,498.487,485.542,441.656,66.91
66,55.2,3078.03,592.285,398.394,10.1279,1.74643,251.521,250.433,250.291,295.096,306.4,255.07,249.829,455.319,353.211,438.98,475.176,494.714,490.694,475.199,66.91
67,55.2,3086.43,587.86,402.891,10.1276,1.74678,251.367,252.51,248.972,295.096,306.4,251.235,250.258,455.419,504.813,439.112,426.717,470.371,494.026,503.174,66.91
68,55.2,3091.11,588.715,398.379,10.1274,1.74712,251.51,248.236,248.511,295.096,306.4,254.169,250.345,448.788,514.749,445.724,418.711,449.056,497.862,517.935,66.91
69,55.2,3096.88,591.4,401.982,10.1272,1.74747,251.158,247.489,248.225,295.096,306.4,252.971,250.126,442.006,517.951,442.403,436.173,457.837,462.414,473.713,66.91
70,55.2,3097.07,599.182,401.279,10.1269,1.74781,250.928,250.521,248.785,295.096,306.4,246.478,250.192,445.96,520.894,437.793,448.28,456.13,419.708,420.054,66.91
71,55.2,3096.97,602.234,393.691,10.1267,1.74816,250.642,251.653,250.455,295.096,306.4,252.125,249.554,444.058,524.034,436.689,460.699,466.647,425.73,403.553,66.91
72,55.2,3086.23,598.236,397.295,10.1265,1.7485,250.631,250.521,251.29,295.096,306.4,251.202,249.456,448.588,367.683,434.043,465.62,482.841,459.39,411.392,66.91
73,55.2,3099.12,597.9,403.257,10.1262,1.74884,250.565,252.971,251.51,295.096,306.4,247.939,250.038,457.321,343.326,439.383,463.339,508.73,492.878,438.982,66.91
74,55.2,3109.38,603.912,406.494,10.126,1.74919,251.06,254.377,251.444,295.096,306.4,254.344,250.697,462.551,318.969,446.129,462.363,500.438,493.858,472.14,66.91
